	Tahoe	Reno	NewReno	Vegas
1	2.536520403	2.205841924	2.752392007	2.416721365
2	2.622415937	2.406436121	2.65843139	2.412212333
3	2.458665607	2.301909766	2.692426517	2.416870521
4	2.63402334	2.228959383	2.748920208	2.416690712
5	2.436130354	2.249800256	2.683935488	2.41832032
6	2.591686526	2.296182582	2.640776206	2.411954804
7	2.632798385	2.334563838	2.744015314	2.413074881
8	2.617395805	2.242418737	2.730092669	2.413762028
9	2.50558577	2.377405407	2.767659664	2.41667109
10	2.517666308	2.226979747	2.726930128	2.412628901
